"module_name","gate_counts","area_math","total_area","delay_math","total_delay","static_power_math","total_static_power"
"gtwizard_ultrascale_v1_7_1_bit_synchronizer","5 dfxtp_1","5*20.02",100.1,"0.27",0.27,"5*8.44",42.2
"barrel_shifter","96 clkinv_1, 96 dfrtp_1, 32 nor2b_1, 40 or2_0","96*3.75 + 96*25.02 + 32*6.26 + 40*6.26",3212.64,"0.33 + 0.2",0.53,"96*1.57 + 96*11.65 + 32*2.18 + 40*1.26",1389.28
"r_RX_BUF_OBJ1_BYTE_0","8 dfxtp_1, 8 mux2i_1, 8 nor2_1","8*20.02 + 8*10.01 + 8*3.75",270.24,"0.27 + 0.11 + 0.04",0.42,"8*8.44 + 8*5.89 + 8*1.97",130.4
"uart_tx","1 a211o_1, 3 a21o_1, 12 a21oi_1, 1 a22o_1, 1 a2bb2oi_1, 5 a31oi_1, 1 a41o_1, 2 and3_1, 7 clkinv_1, 22 dfrtp_1, 4 dfstp_2, 8 mux2i_1, 6 nand2_1, 19 nor2_1, 2 nor2b_1, 3 nor3_1, 3 nor4_1, 1 o211ai_1, 1 o21a_1, 7 o21ai_0, 1 o221ai_1, 1 o22ai_1, 6 o2bb2ai_1, 2 o31ai_1, 1 or3_1, 2 or4_1, 1 xor2_1","1*8.76 + 3*7.51 + 12*5.0 + 1*8.76 + 1*8.76 + 5*6.26 + 1*10.01 + 2*6.26 + 7*3.75 + 22*25.02 + 4*26.28 + 8*10.01 + 6*3.75 + 19*3.75 + 2*6.26 + 3*5.0 + 3*6.26 + 1*7.51 + 1*7.51 + 7*5.0 + 1*8.76 + 1*6.26 + 6*8.76 + 2*7.51 + 1*6.26 + 2*7.51 + 1*8.76",1227.24,"0.38 + 0.6 + 0.26 + 0.29 + 0.25 + 0.18",1.96,"1*3.14 + 3*5.9 + 12*1.65 + 1*4.06 + 1*3.38 + 5*1.48 + 1*6.61 + 2*5.59 + 7*1.57 + 22*11.65 + 4*10.52 + 8*5.89 + 6*2.12 + 19*1.97 + 2*2.18 + 3*0.93 + 3*0.5 + 1*0.7 + 1*2.21 + 7*1.04 + 1*1.09 + 1*1.31 + 6*1.85 + 2*1.7 + 1*1.28 + 2*0.85 + 1*4.28",522.91
"counter_4bit_sync_reset","2 a21oi_1, 1 a41oi_1, 1 and3_1, 4 dfxtp_1, 1 nor2_1, 1 nor3_1, 1 o21a_1, 1 o21bai_1","2*5.0 + 1*8.76 + 1*6.26 + 4*20.02 + 1*3.75 + 1*5.0 + 1*7.51 + 1*7.51",128.87,"0.31 + 0.17 + 0.15",0.63,"2*1.65 + 1*1.36 + 1*5.59 + 4*8.44 + 1*1.97 + 1*0.93 + 1*2.21 + 1*2.87",51.99
"simple_ddr3","64 a211oi_1, 1 a21o_1, 2 a21oi_1, 34 clkinv_1, 1 conb_1, 98 dfxtp_1, 60 mux2i_1, 2 nand2_1, 1 nand3_1, 61 nor2_1, 1 nor2b_1, 2 nor3_1, 1 nor3b_1, 1 nor4_1, 1 nor4bb_1, 1 or2_0, 1 or3b_1, 1 or4_1","64*7.51 + 1*7.51 + 2*5.0 + 34*3.75 + 1*3.75 + 98*20.02 + 60*10.01 + 2*3.75 + 1*5.0 + 61*3.75 + 1*6.26 + 2*5.0 + 1*7.51 + 1*6.26 + 1*10.01 + 1*6.26 + 1*8.76 + 1*7.51",3495.78,"2.51 + 0.82 + 0.15",3.48,"64*0.98 + 1*5.9 + 2*1.65 + 34*1.57 + 1*3.24 + 98*8.44 + 60*5.89 + 2*2.12 + 1*1.03 + 61*1.97 + 1*2.18 + 2*0.93 + 1*1.3 + 1*0.5 + 1*3.2 + 1*1.26 + 1*2.59 + 1*0.85",1448.24
"two_bit_sat_counter","1 a21o_1, 1 maj3_1, 1 nor3b_1, 1 xnor2_1","1*7.51 + 1*10.01 + 1*7.51 + 1*8.76",33.79,"0.31",0.31,"1*5.9 + 1*2.09 + 1*1.3 + 1*2.07",11.36
"rgb_selector","24 dfxtp_1, 24 mux2_1","24*20.02 + 24*11.26",750.72,"0.28",0.28,"24*8.44 + 24*4.03",299.28
"d_ff_reset","1 dfrtp_1","1*25.02",25.02,"0.31",0.31,"1*11.65",11.65
"top_module","2 a211o_1, 15 a211oi_1, 7 a21o_1, 109 a21oi_1, 2 a221o_1, 5 a221oi_1, 2 a31oi_1, 1 and2_0, 1 and3_1, 1 and4b_1, 1 clkinv_1, 1 mux2_1, 15 mux2i_1, 52 nand2_1, 5 nand2b_1, 3 nand3_1, 2 nand4b_1, 1 nand4bb_1, 33 nor2_1, 4 nor2b_1, 4 nor3_1, 4 o211a_1, 21 o211ai_1, 1 o21a_1, 96 o21ai_0, 1 o221a_1, 8 o221ai_1, 12 o22ai_1, 1 o2bb2ai_1, 1 or2_0, 1 or3_1","2*8.76 + 15*7.51 + 7*7.51 + 109*5.0 + 2*10.01 + 5*8.76 + 2*6.26 + 1*6.26 + 1*6.26 + 1*10.01 + 1*3.75 + 1*11.26 + 15*10.01 + 52*3.75 + 5*6.26 + 3*5.0 + 2*8.76 + 1*11.26 + 33*3.75 + 4*6.26 + 4*5.0 + 4*10.01 + 21*7.51 + 1*7.51 + 96*5.0 + 1*11.26 + 8*8.76 + 12*6.26 + 1*8.76 + 1*6.26 + 1*6.26",2293.64,"0.72 + 0.57 + 0.12 + 0.08 + 0.11 + 0.07 + 0.23 + 0.11 + 0.13 + 0.09 + 0.08 + 0.06",2.37,"2*3.14 + 15*0.98 + 7*5.9 + 109*1.65 + 2*2.66 + 5*1.78 + 2*1.48 + 1*1.92 + 1*5.59 + 1*5.99 + 1*1.57 + 1*4.03 + 15*5.89 + 52*2.12 + 5*2.25 + 3*1.03 + 2*1.03 + 1*1.9 + 33*1.97 + 4*2.18 + 4*0.93 + 4*10.66 + 21*0.7 + 1*2.21 + 96*1.04 + 1*2.73 + 8*1.09 + 12*1.31 + 1*1.85 + 1*1.26 + 1*1.28",763.7
"multiplier","1 a211oi_1, 1 a21boi_0, 1 a21o_1, 3 a21oi_1, 1 a22oi_1, 1 a31o_1, 1 a31oi_1, 1 a41oi_1, 2 and2_0, 2 and3_1, 3 clkinv_1, 3 maj3_1, 1 mux2_1, 2 mux2i_1, 9 nand2_1, 4 nand3_1, 4 nor2_1, 2 o21ai_0, 1 o22ai_1, 1 o31a_1, 1 o31ai_1, 1 or3_1, 1 or4_1, 6 xnor2_1, 1 xnor3_1, 3 xor2_1","1*7.51 + 1*7.51 + 1*7.51 + 3*5.0 + 1*7.51 + 1*8.76 + 1*6.26 + 1*8.76 + 2*6.26 + 2*6.26 + 3*3.75 + 3*10.01 + 1*11.26 + 2*10.01 + 9*3.75 + 4*5.0 + 4*3.75 + 2*5.0 + 1*6.26 + 1*8.76 + 1*7.51 + 1*6.26 + 1*7.51 + 6*8.76 + 1*22.52 + 3*8.76",382.83,"0.16 + 0.5 + 0.27 + 0.25 + 0.11 + 0.11 + 0.39 + 0.35 + 0.16 + 0.18",2.48,"1*0.98 + 1*2.48 + 1*5.9 + 3*1.65 + 1*2.58 + 1*2.37 + 1*1.48 + 1*1.36 + 2*1.92 + 2*5.59 + 3*1.57 + 3*2.09 + 1*4.03 + 2*5.89 + 9*2.12 + 4*1.03 + 4*1.97 + 2*1.04 + 1*1.31 + 1*2.07 + 1*1.7 + 1*1.28 + 1*0.85 + 6*2.07 + 1*15.62 + 3*4.28",145.16
"sky130_fd_sc_hd__a211o","1 a211o_1","1*8.76",8.76,"0.24",0.24,"1*3.14",3.14
"FSM","1 a221oi_1, 1 a41oi_1, 1 and2_0, 2 dfxtp_1, 1 nand3b_1, 1 nor2_1, 1 nor2b_1, 3 or3b_1","1*8.76 + 1*8.76 + 1*6.26 + 2*20.02 + 1*7.51 + 1*3.75 + 1*6.26 + 3*8.76",107.62,"0.31 + 0.39 + 0.22",0.92,"1*1.78 + 1*1.36 + 1*1.92 + 2*8.44 + 1*1.4 + 1*1.97 + 1*2.18 + 3*2.59",35.26
"shift_left","16 dfxtp_1, 15 mux2_1, 1 nor2b_1","16*20.02 + 15*11.26 + 1*6.26",495.48,"0.28",0.28,"16*8.44 + 15*4.03 + 1*2.18",197.67
"address","36 a211oi_1, 1 a21o_1, 1 and2_0, 2 and3_1, 1 and4_1, 38 clkinv_1, 6 nand2_1, 5 nand3_1, 7 nand4_1, 7 nor2_1, 7 nor3_1, 11 nor4_1, 1 nor4b_1, 2 or2_0, 5 or4_1","36*7.51 + 1*7.51 + 1*6.26 + 2*6.26 + 1*8.76 + 38*3.75 + 6*3.75 + 5*5.0 + 7*6.26 + 7*3.75 + 7*5.0 + 11*6.26 + 1*8.76 + 2*6.26 + 5*7.51",728.17,"0.5 + 1.05 + 0.51 + 0.19",2.25,"36*0.98 + 1*5.9 + 1*1.92 + 2*5.59 + 1*3.4 + 38*1.57 + 6*2.12 + 5*1.03 + 7*0.53 + 7*1.97 + 7*0.93 + 11*0.5 + 1*0.91 + 2*1.26 + 5*0.85",172.4
"clock_domain_bridge","2 and3_1, 2 conb_1, 2 dfxtp_1, 1 nand2_1","2*6.26 + 2*3.75 + 2*20.02 + 1*3.75",63.81,"0.29 + 0.05 + 0.16",0.5,"2*5.59 + 2*3.24 + 2*8.44 + 1*2.12",36.66
"gray_code_counter","1 a21oi_1, 1 clkinv_1, 20 dfxtp_1, 1 mux2_1, 1 mux2i_1, 1 nor2_1, 1 nor2b_1, 1 xnor2_1, 1 xor2_1","1*5.0 + 1*3.75 + 20*20.02 + 1*11.26 + 1*10.01 + 1*3.75 + 1*6.26 + 1*8.76 + 1*8.76",457.95,"0.3 + 0.14 + 0.32",0.76,"1*1.65 + 1*1.57 + 20*8.44 + 1*4.03 + 1*5.89 + 1*1.97 + 1*2.18 + 1*2.07 + 1*4.28",192.44
"adder_tree_top","1 a21boi_0, 8 a21o_1, 8 a21oi_1, 2 a311oi_1, 1 a32oi_1, 4 and2_0, 7 and3_1, 7 clkinv_1, 172 dfxtp_1, 83 maj3_1, 36 nand2_1, 27 nand2b_1, 6 nand3_1, 14 nor2_1, 5 nor2b_1, 1 nor4_1, 2 o2111ai_1, 1 o211ai_1, 13 o21ai_0, 3 or2_0, 122 xnor2_1, 11 xnor3_1, 43 xor2_1, 32 xor3_1","1*7.51 + 8*7.51 + 8*5.0 + 2*8.76 + 1*8.76 + 4*6.26 + 7*6.26 + 7*3.75 + 172*20.02 + 83*10.01 + 36*3.75 + 27*6.26 + 6*5.0 + 14*3.75 + 5*6.26 + 1*6.26 + 2*8.76 + 1*7.51 + 13*5.0 + 3*6.26 + 122*8.76 + 11*22.52 + 43*8.76 + 32*23.77",7489.9,"0.3 + 0.41 + 0.41 + 0.39 + 0.37 + 0.4 + 0.14 + 0.22 + 0.12 + 0.29 + 0.18 + 0.32 + 0.18 + 0.19 + 0.17 + 0.07 + 0.2 + 0.09",4.45,"1*2.48 + 8*5.9 + 8*1.65 + 2*0.97 + 1*1.25 + 4*1.92 + 7*5.59 + 7*1.57 + 172*8.44 + 83*2.09 + 36*2.12 + 27*2.25 + 6*1.03 + 14*1.97 + 5*2.18 + 1*0.5 + 2*0.58 + 1*0.7 + 13*1.04 + 3*1.26 + 122*2.07 + 11*15.62 + 43*4.28 + 32*15.22",3045.85
"edge_detect","3 dfxtp_1, 2 nor2b_1","3*20.02 + 2*6.26",72.58,"0.28 + 0.11",0.39,"3*8.44 + 2*2.18",29.68
"lookahead_carry_generator","1 a211o_1, 3 maj3_1, 3 o21a_1, 1 o22a_1, 1 o31a_1, 1 or3_1","1*8.76 + 3*10.01 + 3*7.51 + 1*8.76 + 1*8.76 + 1*6.26",85.1,"0.36 + 0.37 + 0.14",0.87,"1*3.14 + 3*2.09 + 3*2.21 + 1*2.76 + 1*2.07 + 1*1.28",22.15
"top_module","6 a222oi_1, 2 a22oi_1, 1 and2_0, 2 and3b_1, 1 conb_1, 4 nand2_1, 1 nand4_1, 2 nor2_1, 1 nor2b_1, 1 nor3_1, 3 nor3b_1, 1 o21ai_0","6*10.01 + 2*7.51 + 1*6.26 + 2*8.76 + 1*3.75 + 4*3.75 + 1*6.26 + 2*3.75 + 1*6.26 + 1*5.0 + 3*7.51 + 1*5.0",170.16,"0.18 + 0.32 + 0.05",0.55,"6*2.43 + 2*2.58 + 1*1.92 + 2*7.06 + 1*3.24 + 4*2.12 + 1*0.53 + 2*1.97 + 1*2.18 + 1*0.93 + 3*1.3 + 1*1.04",60.02
"twos_comp","1 and2_0, 1 clkinv_1, 1 nor4b_1, 1 o21ai_0, 1 o22ai_1, 1 xnor2_1","1*6.26 + 1*3.75 + 1*8.76 + 1*5.0 + 1*6.26 + 1*8.76",38.79,"0.22 + 0.13",0.35,"1*1.92 + 1*1.57 + 1*0.91 + 1*1.04 + 1*1.31 + 1*2.07",8.82
"full_adder_1bit","1 a311o_1, 1 a31o_1, 2 clkinv_1, 3 nand2_1, 2 nand3b_1, 3 xnor2_1, 1 xor2_1","1*10.01 + 1*8.76 + 2*3.75 + 3*3.75 + 2*7.51 + 3*8.76 + 1*8.76",87.58,"0.16 + 0.37 + 0.07",0.6,"1*1.57 + 1*2.37 + 2*1.57 + 3*2.12 + 2*1.4 + 3*2.07 + 1*4.28",26.73
"BBot_SimpleQuadratureCounter","3 a2111oi_0, 2 a211oi_1, 1 a21boi_0, 3 a21o_1, 33 a21oi_1, 1 a221oi_1, 1 a311oi_1, 1 a31o_1, 3 a31oi_1, 1 a32oi_1, 11 and2_0, 37 clkinv_1, 68 dfxtp_1, 4 maj3_1, 24 nand2_1, 3 nand3_1, 1 nand4_1, 23 nor2_1, 3 nor2b_1, 2 nor4_1, 1 o2111ai_1, 2 o211ai_1, 1 o21a_1, 40 o21ai_0, 1 o311ai_0, 1 o31ai_1, 2 o41a_1, 2 o41ai_1, 3 or3_1, 30 xnor2_1, 20 xor2_1","3*8.76 + 2*7.51 + 1*7.51 + 3*7.51 + 33*5.0 + 1*8.76 + 1*8.76 + 1*8.76 + 3*6.26 + 1*8.76 + 11*6.26 + 37*3.75 + 68*20.02 + 4*10.01 + 24*3.75 + 3*5.0 + 1*6.26 + 23*3.75 + 3*6.26 + 2*6.26 + 1*8.76 + 2*7.51 + 1*7.51 + 40*5.0 + 1*8.76 + 1*7.51 + 2*11.26 + 2*8.76 + 3*6.26 + 30*8.76 + 20*8.76",2872.36,"0.3 + 3.05 + 0.67 + 0.1 + 0.49 + 0.2 + 0.76 + 0.29 + 0.15 + 0.54 + 0.23 + 0.42 + 0.23 + 0.35 + 0.11 + 0.19",8.08,"3*0.42 + 2*0.98 + 1*2.48 + 3*5.9 + 33*1.65 + 1*1.78 + 1*0.97 + 1*2.37 + 3*1.48 + 1*1.25 + 11*1.92 + 37*1.57 + 68*8.44 + 4*2.09 + 24*2.12 + 3*1.03 + 1*0.53 + 23*1.97 + 3*2.18 + 2*0.5 + 1*0.58 + 2*0.7 + 1*2.21 + 40*1.04 + 1*0.64 + 1*1.7 + 2*1.37 + 2*1.39 + 3*1.28 + 30*2.07 + 20*4.28",1062.69
"four_bit_adder","1 a22oi_1, 1 maj3_1, 2 nand2_1, 1 nand2b_1, 3 nor2_1, 1 o31ai_1, 4 xnor2_1, 2 xor2_1","1*7.51 + 1*10.01 + 2*3.75 + 1*6.26 + 3*3.75 + 1*7.51 + 4*8.76 + 2*8.76",102.6,"0.19 + 0.12 + 0.33",0.64,"1*2.58 + 1*2.09 + 2*2.12 + 1*2.25 + 3*1.97 + 1*1.7 + 4*2.07 + 2*4.28",35.61
"sky130_fd_sc_ms__nor2","1 nor2_1","1*3.75",3.75,"0.04",0.04,"1*1.97",1.97
"synch_2","4 dfxtp_1, 1 nor2b_1","4*20.02 + 1*6.26",86.34,"0.28",0.28,"4*8.44 + 1*2.18",35.94
"xor_module","2 a21boi_0, 2 and2_0, 2 clkinv_1, 5 dfxtp_1, 2 dlxtn_1, 2 nor2_1, 2 nor3_1, 1 xor2_1","2*7.51 + 2*6.26 + 2*3.75 + 5*20.02 + 2*15.01 + 2*3.75 + 2*5.0 + 1*8.76",191.42,"0.31 + 0.05 + 0.13",0.49,"2*2.48 + 2*1.92 + 2*1.57 + 5*8.44 + 2*8.12 + 2*1.97 + 2*0.93 + 1*4.28",80.46
"synch_2","4 dfxtp_1, 1 nor2b_1","4*20.02 + 1*6.26",86.34,"0.28",0.28,"4*8.44 + 1*2.18",35.94
"top_module","2 conb_1, 1 nor3_1","2*3.75 + 1*5.0",12.5,"0.1",0.1,"2*3.24 + 1*0.93",7.41
"fourbitmux","1 mux4_2","1*22.52",22.52,"0.43",0.43,"1*6.37",6.37
"GreaterThan","1 a221oi_1, 1 a222oi_1, 2 a2bb2oi_1, 6 clkinv_1, 1 dfxtp_1, 1 nand2_1, 1 nand2b_1, 2 nor2b_1, 2 o221ai_1, 1 o22ai_1","1*8.76 + 1*10.01 + 2*8.76 + 6*3.75 + 1*20.02 + 1*3.75 + 1*6.26 + 2*6.26 + 2*8.76 + 1*6.26",125.12,"0.1 + 0.11 + 0.21 + 0.16 + 0.22",0.8,"1*1.78 + 1*2.43 + 2*3.38 + 6*1.57 + 1*8.44 + 1*2.12 + 1*2.25 + 2*2.18 + 2*1.09 + 1*1.31",41.05
"XOR_4bit","4 xor2_1","4*8.76",35.04,"0.12",0.12,"4*4.28",17.12
"COREAHBLITE_ADDRDEC","1 a31oi_1, 1 and4b_1, 1 mux2_1, 1 nand2_1, 2 nand2b_1, 1 nand3_1, 2 nand3b_1, 1 nand4b_1, 12 nor2_1, 1 nor2b_1, 4 nor3_1, 2 nor4_1, 1 or3_1, 1 or4_1, 1 xor2_1","1*6.26 + 1*10.01 + 1*11.26 + 1*3.75 + 2*6.26 + 1*5.0 + 2*7.51 + 1*8.76 + 12*3.75 + 1*6.26 + 4*5.0 + 2*6.26 + 1*6.26 + 1*7.51 + 1*8.76",178.89,"0.35 + 0.14 + 0.45 + 0.3",1.24,"1*1.48 + 1*5.99 + 1*4.03 + 1*2.12 + 2*2.25 + 1*1.03 + 2*1.4 + 1*1.03 + 12*1.97 + 1*2.18 + 4*0.93 + 2*0.5 + 1*1.28 + 1*0.85 + 1*4.28",59.93
"MUX4","1 mux4_2","1*22.52",22.52,"0.43",0.43,"1*6.37",6.37
"binary_edge_detector","1 a21o_1, 3 a21oi_1, 2 clkinv_1, 2 dfrtp_1, 4 dfxtp_1, 2 mux2_1, 1 nand2_1, 2 nand2b_1, 4 nor2_1, 1 nor2b_1, 1 o21a_1, 1 o21ai_0","1*7.51 + 3*5.0 + 2*3.75 + 2*25.02 + 4*20.02 + 2*11.26 + 1*3.75 + 2*6.26 + 4*3.75 + 1*6.26 + 1*7.51 + 1*5.0",232.69,"0.34 + 0.15 + 0.12",0.61,"1*5.9 + 3*1.65 + 2*1.57 + 2*11.65 + 4*8.44 + 2*4.03 + 1*2.12 + 2*2.25 + 4*1.97 + 1*2.18 + 1*2.21 + 1*1.04",99.04
"byte_order_adder","1 a211o_1, 5 a211oi_1, 6 a21o_1, 41 a21oi_1, 6 and2_0, 17 and3_1, 17 clkinv_1, 34 dfxtp_1, 6 maj3_1, 22 nand2_1, 3 nand2b_1, 17 nand3_1, 25 nor2_1, 8 nor2b_1, 28 nor3_1, 3 o211ai_1, 15 o21a_1, 4 o21ai_0, 1 o21bai_1, 3 o311a_1, 1 o311ai_0, 1 o31a_1, 1 o31ai_1, 3 or2_0, 7 xnor2_1, 28 xor2_1, 1 xor3_1","1*8.76 + 5*7.51 + 6*7.51 + 41*5.0 + 6*6.26 + 17*6.26 + 17*3.75 + 34*20.02 + 6*10.01 + 22*3.75 + 3*6.26 + 17*5.0 + 25*3.75 + 8*6.26 + 28*5.0 + 3*7.51 + 15*7.51 + 4*5.0 + 1*7.51 + 3*10.01 + 1*8.76 + 1*8.76 + 1*7.51 + 3*6.26 + 7*8.76 + 28*8.76 + 1*23.77",2281.85,"0.32 + 0.18 + 0.19 + 0.22 + 0.1 + 0.39 + 0.37 + 0.36 + 0.23 + 0.12 + 0.24 + 0.16 + 0.31 + 0.16 + 0.24 + 0.14 + 0.26 + 0.23 + 0.24 + 0.25 + 0.24 + 0.15 + 0.19",5.29,"1*3.14 + 5*0.98 + 6*5.9 + 41*1.65 + 6*1.92 + 17*5.59 + 17*1.57 + 34*8.44 + 6*2.09 + 22*2.12 + 3*2.25 + 17*1.03 + 25*1.97 + 8*2.18 + 28*0.93 + 3*0.7 + 15*2.21 + 4*1.04 + 1*2.87 + 3*3.77 + 1*0.64 + 1*2.07 + 1*1.7 + 3*1.26 + 7*2.07 + 28*4.28 + 1*15.22",918.79
"mux2to1","1 mux2_1","1*11.26",11.26,"0.26",0.26,"1*4.03",4.03
"sky130_fd_sc_ls__a32o","1 a32o_1","1*10.01",10.01,"0.21",0.21,"1*2.3",2.3
"dffpipe","1 dfrtp_1","1*25.02",25.02,"0.31",0.31,"1*11.65",11.65
"eth_outputcontrol","3 a21oi_1, 1 a311oi_1, 8 clkinv_1, 6 dfrtp_1, 2 mux2_1, 5 nor2_1, 1 o21ai_0, 1 o311ai_0, 1 o41ai_1, 1 or4b_1","3*5.0 + 1*8.76 + 8*3.75 + 6*25.02 + 2*11.26 + 5*3.75 + 1*5.0 + 1*8.76 + 1*8.76 + 1*10.01",277.68,"0.5 + 0.23 + 0.1",0.83,"3*1.65 + 1*0.97 + 8*1.57 + 6*11.65 + 2*4.03 + 5*1.97 + 1*1.04 + 1*0.64 + 1*1.39 + 1*2.14",111.5
"jkflipflop","1 a211oi_1, 1 a21o_1, 2 dfxtp_1, 1 nand2_1, 1 nor2_1, 1 or2_0","1*7.51 + 1*7.51 + 2*20.02 + 1*3.75 + 1*3.75 + 1*6.26",68.82,"0.28 + 0.2 + 0.17",0.65,"1*0.98 + 1*5.9 + 2*8.44 + 1*2.12 + 1*1.97 + 1*1.26",29.11
"M_uxa_ps2_fifo","2 a21o_1, 3 a21oi_1, 1 a22o_1, 1 a31o_1, 1 a41oi_1, 1 and3_1, 3 clkinv_1, 140 dfxtp_1, 129 mux2_1, 4 mux2i_1, 37 mux4_2, 7 nand2_1, 7 nand2b_1, 1 nand4_1, 1 nand4bb_1, 5 nor2_1, 2 nor2b_1, 4 nor3_1, 1 nor3b_1, 17 nor4_1, 3 o211ai_1, 4 o21ai_0, 1 o31ai_1, 4 o41ai_1, 2 or2_0, 1 or4_1, 5 xnor2_1","2*7.51 + 3*5.0 + 1*8.76 + 1*8.76 + 1*8.76 + 1*6.26 + 3*3.75 + 140*20.02 + 129*11.26 + 4*10.01 + 37*22.52 + 7*3.75 + 7*6.26 + 1*6.26 + 1*11.26 + 5*3.75 + 2*6.26 + 4*5.0 + 1*7.51 + 17*6.26 + 3*7.51 + 4*5.0 + 1*7.51 + 4*8.76 + 2*6.26 + 1*7.51 + 5*8.76",5604.13,"0.32 + 0.26 + 0.14 + 1.43 + 0.42 + 0.43",3.0,"2*5.9 + 3*1.65 + 1*4.06 + 1*2.37 + 1*1.36 + 1*5.59 + 3*1.57 + 140*8.44 + 129*4.03 + 4*5.89 + 37*6.37 + 7*2.12 + 7*2.25 + 1*0.53 + 1*1.9 + 5*1.97 + 2*2.18 + 4*0.93 + 1*1.3 + 17*0.5 + 3*0.7 + 4*1.04 + 1*1.7 + 4*1.39 + 2*1.26 + 1*0.85 + 5*2.07",2083.55
"binary_gray_barrel_shift","3 a211oi_1, 1 clkinv_1, 1 conb_1, 3 mux2i_1, 3 nor2b_1","3*7.51 + 1*3.75 + 1*3.75 + 3*10.01 + 3*6.26",78.84,"0.09 + 0.16",0.25,"3*0.98 + 1*1.57 + 1*3.24 + 3*5.89 + 3*2.18",31.96
"my_module","1 a41o_1","1*10.01",10.01,"0.19",0.19,"1*6.61",6.61
"d_ff_async_reset","1 clkinv_1, 1 dfrtp_1","1*3.75 + 1*25.02",28.77,"0.31",0.31,"1*1.57 + 1*11.65",13.22
"daala_idct4_stream_v1_0_S00_AXIS","1 a21boi_0, 2 a21oi_1, 1 a311oi_1, 1 a31oi_1, 1 a41oi_1, 2 and3_1, 1 and4_1, 1 clkinv_1, 5 dfxtp_1, 2 nor3_1, 1 o21ai_0, 1 o31a_1","1*7.51 + 2*5.0 + 1*8.76 + 1*6.26 + 1*8.76 + 2*6.26 + 1*8.76 + 1*3.75 + 5*20.02 + 2*5.0 + 1*5.0 + 1*8.76",190.18,"0.31 + 0.19 + 0.26",0.76,"1*2.48 + 2*1.65 + 1*0.97 + 1*1.48 + 1*1.36 + 2*5.59 + 1*3.4 + 1*1.57 + 5*8.44 + 2*0.93 + 1*1.04 + 1*2.07",72.91
